date,company,doses
1608940800000,0,11700,
1609286400000,0,8190,
1609718400000,0,19890,
1610323200000,0,11700,
1610409600000,1,1200,
1610928000000,0,9360,
1611532800000,0,19890,
1612051200000,1,2400,
1612137600000,0,17550,
1612483200000,1,4800,
1612569600000,2,9600,
1612828800000,0,17550,
1613001600000,2,9600,
1613347200000,0,21060,
1613606400000,2,16800,
1613952000000,0,22230,
1614211200000,2,16800,
1614211200000,1,8400,
1614556800000,0,19890,
1614816000000,2,21600,
1615161600000,0,19890,
1615420800000,2,14400,
1615507200000,1,12000,
1615766400000,0,19890,
1616112000000,2,4800,
1616371200000,0,29250,
1616630400000,1,18000,
1616716800000,2,4800,
1616976000000,0,29250,
1617235200000,2,45600,